id;career;type;role;entries;exits
0;Abbot;Basic;Academics;Anointed Priest, High Priest, Monk, Scholar;High Priest, Scholar
1;Admiral;Advanced;Warriors;Noble Lord, Sea Captain;Ambassador, Explorer, Guild Master
2;Agent of the Shroud;Advanced;Criminals;Barber-Surgeon, Fieldwarden, Initiate, Scholar, Student, Tomb Robber, Vampire Hunter;Killer of the Dead, Priest, Scholar, Spy, Vampire Hunter, Witch Hunter
3;Agitator;Basic;Commoners;Burgher, Captain, Herald, Highwayman, Scribe, Servant, Student, Zealot;Charlatan, Demagogue, Ex-Convict, Outlaw, Politician, Rogue, Zealot
4;Ambassador;Advanced;Academics;Captain, High Priest, Ice Witch, Noble Lord, Wizard Lord;Captain, Merchant, Noble Lord, Politician
5;Anchorite;Basic;Academics; ;Badlander, Mystic, Outlaw, Swamp Skipper, Vagabond
6;Animal Trainer;Advanced;Rangers;Bear Tamer, Entertainer, Farmer, Hunter, Muleskinner, Peasant, Rat Catcher;Bear Tamer, Entertainer, Hunter
7;Anointed Priest;Advanced;Academics;Priest;Demagogue, Flagellant, High Priest, Scholar, Witch Hunter
8;Apothecary;Basic;Commoners;Apprentice Wizard, Barber-Surgeon, Hedge Wizard, Student;Apprentice Wizard, Artisan, Barber-Surgeon, Embalmer, Grave Robber, Merchant, Physician, Scholar
9;Apprentice Runesmith;Basic;Commoners;Artisan, Runebearer, Scribe, Student;Journeyman Runesmith, Runebearer, Scholar, Scribe, Shieldbearer
10;Apprentice Witch;Basic;Academics; ;Ice Maiden, Initiate of Ulric, Witch
11;Apprentice Wizard;Basic;Academics;Dilettante, Hedge Wizard, Scholar, Scribe, Student;Journeyman Wizard, Scholar, Scribe
12;Artillerist;Advanced;Warriors;Engineer, Sergeant;Artisan, captain, Guild Master, Mercenary, Veteran
13;Artisan;Advanced;Commoners;Cartographer, Engineer, Militiaman, Navigator, Tradesman;Demagogue, Engineer, Guild Master, Merchant, Militiaman
14;Assassin;Advanced;Criminals;Champion, Duellist, Judicial Champion, Outlaw Chief, Spy, Targeteer;Champion, Outlaw Chief, Rogue, Sergeant, Witch Hunter
15;Astrologer;Advanced;Academics;Apothecary, Apprentice Wizard, Charlatan, Dilettante, Journeyman Wizard, Master Wizard, Navigator, Noble, Physician, Scholar, Student;Apprentice Wizard, Charlatan, Explorer, Navigator, Scholar
16;Ataman;Advanced;Academics;Captain, Horse Master, Noble, Veteran;Politician, Priest, Noble Lord
17;Badlander;Basic;Rangers;Anchorite, Peasant, Vagabond;Cat Burglar, Vagabond
18;Badlands Rangers;Advanced;Rangers;Explorer, Outlaw Chief, Scout;Captain, Explorer, Outlaw Chief
19;Bailiff;Basic;Warriors;Bodyguard, Jailer;Militiaman, Politician, Protagonist, Racketeer, Smuggler, Toll Keeper
