from,to
84,67
22,6
26,77
47,56
37,48
45,48
15,11
80,53
75,53
54,42
1,67
3,64
38,53
36,13
48,53
36,67
60,13
33,61
24,73
52,67
52,60
34,3
22,61
54,11
61,6
15,67
21,68
62,42
30,70
12,13
25,19
23,40
64,42
40,14
78,74
77,13
85,21
5,17
46,36
70,42
23,34
28,47
33,38
32,42
63,25
84,47
14,40
42,37
7,53
67,34
76,13
54,15
71,24
35,85
49,34
64,70
13,60
36,76
68,48
7,74
8,58
75,70
38,78
8,13
6,61
45,14
44,37
42,53
63,56
53,48
27,37
68,53
78,53
45,53
26,25
70,48
66,7
18,67
15,42
58,11
13,53
25,29
56,40
65,3
80,42
54,47
79,32
1,4
27,70
80,61
56,14
53,78
37,70
3,53
74,53
64,37
72,29
68,67
30,3
3,42
47,42
28,34
54,38
76,42
17,37
79,24
18,34
61,42
76,70
60,67
8,20
34,67
6,22
4,34
84,68
84,34
8,11
46,71
85,35
28,14
45,42
83,51
82,34
49,67
58,30
